"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
study_id,recruitment_and_screening_form_appendix_b,,text,"Study ID",,,,,,,,,,,,,
b_site,recruitment_and_screening_form_appendix_b,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">Administrative Information</span></h6></div>",dropdown,"Study Site:","131265, Brown/Lifespan | 131266, Case Western Reserve University | 131516, Emory University | 131517, Johns Hopkins University | 131518, Oregon State University | 131519, University of Michigan | 131520, University of Pittsburgh | 131521, University of Wisconsin",,,,,,,y,,,,," @DEFAULT='[user-dag-id]' @READONLY"
b_fac_bu,recruitment_and_screening_form_appendix_b,,dropdown,Facility:,"1, Genesis Grand Islander | 2, Genesis Greenwood Center | 3, Genesis Kent Regency | 4, Genesis Respiratory and Rehab | 5, Saint Elizabeth Home Skilled Nursing & Rehabilitation Center",,,,,,"[b_site] = '131265'",y,,,,,
b_fac_cwru,recruitment_and_screening_form_appendix_b,,dropdown,Facility:,"1, Ohio Veterans Home | 2, St. Augustine | 3, Menorah Park | 4, Montefiore | 5, Crawford Manor | 6, Grand River | 7, Bathcreek Estates | 8, Bath Manor | 9, Highland Pointe | 10, The Willows | 11, Aventura at Walton Manor | 12, The Woodlands at Robinson | 13, Oaks of Brecksville | 14, Seven Hills Skilled Nursing and Rehab | 15, Homestead II",,,,,,"[b_site] = '131266'",y,,,,,
b_fac_eu,recruitment_and_screening_form_appendix_b,,dropdown,Facility:,"1, AG Rhodes Atlanta | 2, AG Rhodes Wesley Woods | 3, AG Rhodes Cobb",,,,,,"[b_site] = '131516'",y,,,,,
b_fac_jhu,recruitment_and_screening_form_appendix_b,,dropdown,Facility:,"1, Lorien Mays Chapel | 2, Lorien Bulle Rock | 3, Lorien Columbia | 4, Lorien Bel Air | 5, Lorien Encore at Turf Valley | 6, Lorien Mt. Airy",,,,,,"[b_site] = '131517'",y,,,,,
b_fac_osu,recruitment_and_screening_form_appendix_b,,dropdown,Facility:,"1, Centennial | 2, Mt Tabor | 3, Marquis Oregon City Post Acute | 4, Marquis Tualatin Post Acute | 5, Marquis Vermont Hills",,,,,,"[b_site] = '131518'",y,,,,,
b_fac_um,recruitment_and_screening_form_appendix_b,,dropdown,Facility:,"1, Promedica Ann Arbor | 2, Glacier Hills | 3, Grandvue Medical Care Facility | 4, Bay Bluffs - Emmett County Medical Care Facility | 5, Lenawee Medical Care Facility | 6, Hillsdale Hospital McGuire and MacRitchie Ltcu | 7, Evangelical Home - Saline | 8, Holt Nursing Care & Rehab",,,,,,"[b_site] = '131519'",y,,,,,
b_fac_up,recruitment_and_screening_form_appendix_b,,dropdown,Facility:,"1, Asbury Heights | 2, Canterbury Place | 3, Cranberry Place | 4, Heritage Place | 5, Seneca Place | 6, Sherwood Oaks",,,,,,"[b_site] = '131520'",y,,,,,
b_fac_uw,recruitment_and_screening_form_appendix_b,,dropdown,Facility:,"1, Capital Lakes Health Center | 2, St. Mary's Care Center | 3, Crossroads Care Center | 4, Skaalen Nursing & Rehabilitation Center | 5, Hillside Manor | 6, Clearview | 7, Bedrock Health Care Center | 8, Marquardt Memorial Manor | 9, Alden Estates | 10, Pleasant View Nursing Home",,,,,,"[b_site] = '131521'",y,,,,,
