weeknum,nh,res,staff,res_enr,staf_enr
1,1B,3,2,1,1
2,1B,3,2,2,1
3,1B,3,3,2,1
4,1B,3,2,2,1
4,5H,2,1,2,1
5,1B,3,2,2,1
5,5H,1,1,2,1
6,1B,3,2,2,1
6,5H,2,1,2,1
7,1B,3,3,3,1
7,5H,2,1,2,2
8,1B,3,3,3,1
8,5H,2,1,2,2
9,1B,3,3,3,1
9,2C,2,1,2,1
9,5H,2,1,3,2
10,1B,3,3,3,1
10,1C,3,4,1,1
10,2B,4,5,1,4
10,2C,2,1,2,1
10,2F,3,5,1,1
10,5H,2,1,3,2
11,1B,3,3,4,1
11,1C,3,4,1,1
11,2B,4,5,1,4
11,2C,2,1,2,1
11,2F,3,5,1,1
11,3B,3,4,1,1
11,3C,3,3,3,1
11,5G,2,1,2,1
11,5H,2,1,3,2
11,6D,3,4,2,1
12,1B,3,3,5,2
12,1C,3,4,1,1
12,2B,4,5,1,4
12,2C,2,1,2,1
12,2F,3,5,1,1
12,3A,3,3,4,1
12,3B,3,4,1,1
12,3C,3,3,3,1
12,5G,2,1,2,2
12,5H,2,1,3,2
12,6D,3,4,3,1
13,1B,3,3,5,2
13,1C,4,4,1,1
13,2B,4,5,1,4
13,2C,2,1,2,1
13,2F,3,5,1,1
13,3A,3,3,4,1
13,3B,3,4,2,1
13,3C,3,3,3,1
13,5G,2,1,3,2
13,5H,2,1,3,2
13,6D,3,4,4,1
14,1B,3,3,5,2
14,1C,3,4,1,1
14,2B,4,5,1,4
14,2C,2,1,2,1
14,2F,3,5,1,1
14,2G,2,2,2,1
14,3A,3,3,4,1
14,3B,3,4,2,1
14,3C,3,3,3,1
14,5G,2,1,4,2
14,5H,2,1,3,2
14,6D,2,4,4,1
15,1B,3,3,5,2
15,1C,3,4,1,1
15,2B,4,5,1,4
15,2C,2,1,2,1
15,2F,3,5,1,1
15,2G,2,2,2,1
15,3A,3,3,4,1
15,3B,3,4,2,1
15,3C,3,3,3,1
15,5G,2,1,4,2
15,5H,2,1,3,2
15,6A,3,5,1,1
15,6C,1,1,1,1
15,6D,3,4,4,1
16,1B,3,3,5,2
16,1C,3,4,2,1
16,2B,4,5,1,4
16,2C,2,1,2,1
16,2F,3,5,1,1
16,2G,2,2,2,1
16,3A,3,3,4,1
16,3B,3,4,3,1
16,3C,3,3,3,1
16,4A,2,2,1,6
16,5G,2,1,4,2
16,5H,2,1,3,2
16,5J,1,1,1,1
16,6A,3,5,1,1
16,6C,1,1,1,1
16,6D,3,4,4,1
17,1A,3,3,1,1
17,1B,3,3,5,2
17,1C,4,4,2,1
17,2B,4,5,1,4
17,2C,2,1,2,1
17,2F,3,5,1,1
17,2G,2,2,2,1
17,3A,3,3,4,8
17,3B,3,4,3,8
17,3C,3,3,5,2
17,4A,2,2,1,7
17,5G,2,1,4,2
17,5H,2,1,3,2
17,5J,1,1,1,1
17,6A,3,5,2,1
17,6C,1,1,1,1
17,6D,3,4,4,1
18,1A,3,3,1,4
18,1B,3,3,5,2
18,1C,3,4,2,1
18,2B,4,5,1,4
18,2C,2,1,2,1
18,2D,2,3,6,1
18,2F,3,5,1,1
18,2G,2,2,2,1
18,3A,3,3,5,8
18,3B,3,4,3,8
18,3C,3,3,5,2
18,4A,2,2,1,7
18,5G,2,1,5,2
18,5H,2,1,3,2
18,5J,1,1,1,4
18,6A,3,5,3,1
18,6C,1,1,1,1
18,6D,3,4,4,1
19,1A,3,3,1,4
19,1B,3,3,5,2
19,1C,3,4,2,1
19,2B,4,5,1,4
19,2C,2,1,2,1
19,2D,2,3,6,1
19,2F,3,5,1,1
19,2G,2,3,2,1
19,3A,3,3,5,8
19,3B,3,4,3,8
19,3C,3,3,5,2
19,4A,2,2,1,7
19,5G,2,1,5,3
19,5H,2,1,3,2
19,5J,1,1,1,4
19,6A,3,5,3,1
19,6C,1,1,1,1
19,6D,3,4,4,3
19,8A,1,2,1,3
20,1A,3,3,1,4
20,1B,3,3,6,2
20,1C,4,4,2,1
20,2B,4,5,1,4
20,2C,2,1,2,1
20,2D,2,3,6,1
20,2F,3,5,1,1
20,2G,2,2,2,1
20,3A,3,3,5,8
20,3B,3,4,3,8
20,3C,3,3,5,2
20,4A,2,2,1,7
20,4C,3,5,2,1
20,5G,2,1,5,3
20,5H,1,1,3,2
20,5J,1,1,2,4
20,6A,3,5,3,1
20,6C,1,1,1,1
20,6D,3,4,4,3
20,8A,1,2,1,4
21,1A,3,3,1,4
21,1B,3,3,6,2
21,1C,3,4,2,1
21,2B,4,5,1,4
21,2C,2,1,2,1
21,2D,2,3,6,1
21,2F,3,5,1,1
21,2G,2,2,2,1
21,3A,3,3,5,8
21,3B,3,4,3,9
21,3C,3,3,5,2
21,4A,2,2,1,7
21,4C,3,5,2,1
21,5G,2,1,5,3
21,5H,2,1,4,3
21,5J,1,1,2,4
21,6A,3,5,3,3
21,6C,1,1,1,1
21,6D,3,4,4,3
21,8A,1,2,1,4
22,1A,3,3,1,4
22,1B,3,3,6,2
22,1C,3,4,3,1
22,2B,4,5,1,4
22,2C,2,2,2,1
22,2D,2,3,6,1
22,2F,3,5,1,1
22,2G,2,2,2,1
22,3A,3,3,5,8
22,3B,3,4,4,9
22,3C,3,4,5,2
22,4A,2,2,1,7
22,4C,3,5,2,1
22,5G,2,1,5,3
22,5H,2,1,4,3
22,5J,1,1,2,4
22,6A,3,5,3,3
22,6C,1,2,1,1
22,6D,3,4,4,3
22,8A,1,2,1,4
23,1A,3,3,1,4
23,1B,3,3,6,2
23,1C,3,4,3,1
23,2B,4,5,1,4
23,2C,2,2,2,1
23,2D,2,3,6,1
23,2F,3,5,1,1
23,2G,2,2,2,1
23,3A,3,3,5,9
23,3B,3,4,4,9
23,3C,3,4,5,3
23,4A,2,2,1,7
23,4C,3,5,2,1
23,4E,2,2,1,6
23,5G,2,1,5,3
23,5H,1,1,4,3
23,5J,1,1,2,4
23,6A,3,5,3,3
23,6C,1,2,1,1
23,6D,3,4,4,3
23,7A,3,3,3,1
23,7B,1,2,2,1
23,8A,1,2,2,4
24,1A,3,3,1,4
24,1B,3,3,6,2
24,1C,3,4,3,1
24,2B,4,5,1,4
24,2C,2,2,2,1
24,2D,2,3,6,1
24,2F,3,5,2,1
24,2G,2,2,2,1
24,3A,3,3,5,9
24,3B,3,4,4,9
24,3C,3,4,5,4
24,4A,2,2,1,7
24,4C,3,5,2,1
24,4E,2,2,1,6
24,5G,2,1,5,3
24,5H,2,1,4,3
24,5J,1,1,2,4
24,6A,3,5,3,3
24,6C,1,2,1,1
24,6D,3,4,4,3
24,7A,3,3,3,1
24,7B,1,2,2,1
24,8A,1,2,2,4
24,8B,2,3,1,2
25,1A,3,3,1,4
25,1B,3,3,7,2
25,1C,3,4,3,1
25,2B,4,5,1,4
25,2C,2,2,2,1
25,2D,2,3,6,1
25,2F,3,5,2,1
25,2G,2,2,2,1
25,3A,3,3,5,9
25,3B,3,4,4,9
25,3C,3,4,5,4
25,4A,2,2,1,7
25,4C,3,5,2,1
25,4E,2,2,1,6
25,5G,2,1,5,3
25,5H,2,1,4,3
25,5J,1,1,2,4
25,6A,3,5,3,4
25,6C,1,2,1,1
25,6D,3,4,4,3
25,7A,3,3,3,1
25,7B,1,2,2,1
25,8A,1,2,2,4
25,8B,2,3,1,2
26,1A,3,3,1,4
26,1B,3,3,7,2
26,1C,3,4,3,1
26,2B,4,5,1,4
26,2C,2,2,2,1
26,2D,2,3,6,1
26,2F,3,5,2,1
